cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
muitos repetidos,super_grande,100000,Quick Sort,1,0.170627,360104,260094,1,ok
muitos repetidos,super_grande,100000,Radix Sort,1,0.301119,99999,1300000,1,ok
muitos repetidos,super_grande,100000,Shell Sort,2,0.381199,1324430,388599,1,ok
muitos repetidos,super_grande,100000,Merge Sort,2,0.617660,1513883,1569517,1,ok
muitos repetidos,super_grande,100000,Quick Sort,2,0.137053,309899,209889,1,ok
muitos repetidos,super_grande,100000,Radix Sort,2,0.314748,99999,1300000,1,ok
muitos repetidos,super_grande,100000,Shell Sort,3,0.366921,1322913,387029,1,ok
muitos repetidos,super_grande,100000,Merge Sort,3,0.659150,1514101,1570498,1,ok
muitos repetidos,super_grande,100000,Quick Sort,3,0.134428,299917,199907,1,ok
muitos repetidos,super_grande,100000,Radix Sort,3,0.313017,99999,1300000,1,ok
longa,super_grande,100000,Shell Sort,1,1.280914,3914359,2988661,1,ok
longa,super_grande,100000,Merge Sort,1,0.676040,1566777,1636563,1,ok
longa,super_grande,100000,Quick Sort,1,0.903971,1855002,1771285,1,ok
longa,super_grande,100000,Radix Sort,1,0.321902,99999,1300000,1,ok
longa,super_grande,100000,Shell Sort,2,1.210128,3884683,2959027,1,ok
longa,super_grande,100000,Merge Sort,2,0.688811,1566638,1636621,1,ok
longa,super_grande,100000,Quick Sort,2,0.934975,1906522,1822795,1,ok
longa,super_grande,100000,Radix Sort,2,0.333121,99999,1300000,1,ok
longa,super_grande,100000,Shell Sort,3,1.461541,4121218,3195692,1,ok
longa,super_grande,100000,Merge Sort,3,0.682769,1566568,1636999,1,ok
longa,super_grande,100000,Quick Sort,3,0.910531,1799483,1715636,1,ok
longa,super_grande,100000,Radix Sort,3,0.359952,99999,1300000,1,ok
