cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
decrescente,pequena,1000,Shell Sort,3,0.002225,8406,3775,1,ok
decrescente,pequena,1000,Merge Sort,3,0.003152,5031,9889,1,ok
decrescente,pequena,1000,Quick Sort,3,0.004750,10532,9793,1,ok
decrescente,pequena,1000,Radix Sort,3,0.002038,999,9000,1,ok
decrescente,media,10000,Insertion Sort,1,14.623737,49994520,49992535,1,ok
decrescente,media,10000,Selection Sort,1,8.997986,49995000,5737,1,ok
decrescente,media,10000,Shell Sort,1,0.030773,118980,52494,1,ok
decrescente,media,10000,Merge Sort,1,0.044690,65699,138880,1,ok
decrescente,media,10000,Quick Sort,1,0.080767,152392,145430,1,ok
decrescente,media,10000,Radix Sort,1,0.025917,9999,110000,1,ok
decrescente,media,10000,Insertion Sort,2,14.591329,49994570,49992552,1,ok
decrescente,media,10000,Selection Sort,2,8.989232,49995000,5698,1,ok
decrescente,media,10000,Shell Sort,2,0.030826,118908,52420,1,ok
decrescente,media,10000,Merge Sort,2,0.042870,65705,138871,1,ok
decrescente,media,10000,Quick Sort,2,0.068389,149980,143087,1,ok
decrescente,media,10000,Radix Sort,2,0.024070,9999,110000,1,ok
decrescente,media,10000,Insertion Sort,3,14.649949,49994452,49992405,1,ok
decrescente,media,10000,Selection Sort,3,9.041946,49995000,5693,1,ok
decrescente,media,10000,Shell Sort,3,0.030776,118912,52426,1,ok
decrescente,media,10000,Merge Sort,3,0.043574,65701,138808,1,ok
decrescente,media,10000,Quick Sort,3,0.069673,152177,145149,1,ok
decrescente,media,10000,Radix Sort,3,0.024178,9999,110000,1,ok
decrescente,grande,50000,Insertion Sort,1,371.083355,1249972552,1249962609,1,ok
decrescente,grande,50000,Selection Sort,1,227.278361,1249975000,28679,1,ok
decrescente,grande,50000,Shell Sort,1,0.186636,683224,264774,1,ok
decrescente,grande,50000,Merge Sort,1,0.260652,387998,794439,1,ok
decrescente,grande,50000,Quick Sort,1,0.433349,880557,845587,1,ok
decrescente,grande,50000,Radix Sort,1,0.144792,49999,650000,1,ok
decrescente,grande,50000,Insertion Sort,2,370.613081,1249972554,1249962491,1,ok
decrescente,grande,50000,Selection Sort,2,226.884047,1249975000,28569,1,ok
decrescente,grande,50000,Shell Sort,2,0.173860,683102,264652,1,ok
decrescente,grande,50000,Merge Sort,2,0.267864,388110,794412,1,ok
decrescente,grande,50000,Quick Sort,2,0.408259,877584,842735,1,ok
decrescente,grande,50000,Radix Sort,2,0.122378,49999,550000,1,ok
decrescente,grande,50000,Insertion Sort,3,369.585367,1249972441,1249962457,1,ok
decrescente,grande,50000,Selection Sort,3,226.910444,1249975000,28600,1,ok
decrescente,grande,50000,Shell Sort,3,0.174379,683218,264768,1,ok
decrescente,grande,50000,Merge Sort,3,0.245337,387947,794341,1,ok
decrescente,grande,50000,Quick Sort,3,0.412741,890903,855478,1,ok
decrescente,grande,50000,Radix Sort,3,0.145395,49999,650000,1,ok
repetido,pequena,1000,Insertion Sort,1,0.000263,999,0,1,ok
repetido,pequena,1000,Selection Sort,1,0.087433,499500,0,1,ok
repetido,pequena,1000,Shell Sort,1,0.001111,5457,0,1,ok
repetido,pequena,1000,Merge Sort,1,0.002278,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,1,0.000312,1002,1,1,ok
repetido,pequena,1000,Radix Sort,1,0.002816,999,13000,1,ok
repetido,pequena,1000,Insertion Sort,2,0.000239,999,0,1,ok
repetido,pequena,1000,Selection Sort,2,0.088359,499500,0,1,ok
repetido,pequena,1000,Shell Sort,2,0.001130,5457,0,1,ok
repetido,pequena,1000,Merge Sort,2,0.002263,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,2,0.000306,1002,1,1,ok
repetido,pequena,1000,Radix Sort,2,0.002917,999,13000,1,ok
repetido,pequena,1000,Insertion Sort,3,0.000231,999,0,1,ok
repetido,pequena,1000,Selection Sort,3,0.087772,499500,0,1,ok
repetido,pequena,1000,Shell Sort,3,0.001108,5457,0,1,ok
